GeneID	SRR6451292	SRR6451294	SRR6451295	SRR6451288	SRR6451289	SRR6451296	SRR10063894	SRR10063893	SRR10063892	SRR6451293	SRR6451290	SRR6451291	SRR10063891	SRR10063890	SRR10063888	SRR10063887	SRR10063886	SRR10063885	SRR10063884	SRR10063883	SRR10063882	SRR10063881	SRR10063880	SRR10063879	SRR6451300	SRR6451301	SRR6451298	SRR6451297	SRR6451302	SRR6451303	SRR1019853	SRR1019854	SRR1019855	SRR1585195	SRR1687186	SRR1687187	SRR1747132	SRR1747133	SRR1747134	SRR1747135	SRR1747136	SRR1996221	SRR5192077	SRR5498790	SRR5498791	SRR7814089	SRR7814090	SRR7814091	SRR7814092	SRR7814093	SRR7814094	SRR8351347	SRR8351348	SRR8351349	SRR8351350	SRR8351351	SRR8351352	SRR8351353	SRR8351354	SRR8351355	SRR8351356	SRR8351357	SRR8351358	SRR8351359	SRR8351360	SRR8351361	SRR8361922	SRR8361923	SRR8361924	SRR8948279	SRR8948280	SRR8948281	SRR8948282	SRR8948283	SRR8948284	SRR9903553	SRR9903554	SRR9903555	SRR9903556	SRR9903557	SRR9903558
PHAS21-11	1.744648309	1.851728582	1.842416814	1.900958808	2.780245172	0.897283406	1.396989358	1.494007965	1.909843841	1.545774977	3.384727624	2.240089132	1.954328121	1.631604338	3.179463709	2.454681632	2.667557556	1.944422302	2.542458843	2.670364766	4.166436811	2.898962384	1.302264042	0.975072067	4.519504652	2.053997735	2.304230342	1.8096484	2.462920567	0.665714493	294.6092315	193.1379312	278.842403	232.4436656	278.842403	294.6092315	248.2705537	240.1492376	284.5822378	312.3219147	216.5906487	0.991425008	216.5811759	0.6036657	1.205699062	0.996707564	1.14173629	1.115928999	1.887296589	0.270175132	0.295679059	3.183881477	2.204433606	3.725287819	3.363308215	3.309837338	2.768476018	2.421194009	6.085969165	2.780092254	2.495977966	5.86440364	4.440927784	5.744618338	1.900837431	5.319038109	2.071723445	2.572248328	2.711380953	37.11176519	8.961696268	2.911799067	35.9641416	2.578643008	82.18291084	1.250291652	377.5907559	35.9641416	0.494114968	8.961696268	37.11176519
PHAS21-12	333.7101513	332.4345999	303.2491747	308.9864103	384.2375415	333.6616363	326.3443891	322.7925057	335.8402413	369.9726124	408.1036089	368.2084681	327.2520002	304.1597475	268.8112847	331.9626033	301.2867876	343.5748935	312.1309918	339.6866358	246.8315532	260.6912454	311.7606794	279.3480944	338.0290588	233.9805565	334.4071173	300.0375659	241.5231859	180.7135984	655.7446661	690.7659277	733.7587981	439.299241	733.7587981	655.7446661	296.7736145	366.3115054	416.441132	390.1891288	357.81702	246.2893056	3.612319917	252.0010707	169.6141218	177.0555234	234.3396627	162.5347547	197.610705	169.1961833	165.9977688	79.68738792	111.1377017	224.7460911	220.6013156	198.4368622	294.2843297	96.15167929	301.59235	172.3235801	255.2335584	322.571499	181.7733531	121.3832265	101.709903	291.968311	347.8461885	363.9373039	367.2549494	206.4571106	592.2352236	248.469592	252.048396	231.7468619	239.1539763	349.8685272	151.9047075	252.048396	310.9021251	592.2352236	206.4571106
PHAS21-13	3.147736288	2.838882647	4.259634954	2.921898498	1.56564997	1.914895644	1.01868007	1.674522813	2.93257168	1.429733789	1.301803867	1.823033793	1.687555423	4.177207154	3.017463504	5.169900639	4.909878745	2.218453529	3.999100938	4.051585765	3.478876927	5.357447119	5.995602655	6.427515872	2.290110059	8.168824667	1.433138523	4.616702904	4.334277381	4.517833714	21.66597447	25.82699361	15.36614299	14.08157813	15.36614299	21.66597447	12.7288825	18.70716509	20.11038763	20.92534887	20.45597979	3.392559451	13.16606317	2.488960115	2.390232247	2.041229596	2.72000352	2.822430813	10.14036619	14.46428409	4.582267796	1.989896408	1.005481382	0	0.964882615	0.876995428	0.796256448	0	1.216418857	2.491425049	0	2.913001698	0	0	0	1.722623672	6.283006339	8.325574941	5.227803265	11.07938089	8.772933335	17.24863091	11.18342514	11.45072543	15.03856539	25.58600073	15.00991066	11.18342514	31.16804871	8.772933335	11.07938089
PHAS21-14	2.750699008	3.997438553	2.836157452	3.673108693	2.2363848	1.046629777	2.544942761	2.288021741	3.492575038	1.736717128	1.744937151	1.237056911	1.925357049	2.083084739	1.934319844	2.804249654	3.193924346	2.455601744	1.428809196	2.671098152	1.956131396	2.399353161	2.405181752	1.506801647	2.420007838	4.064186659	4.273503142	0.904596226	3.518084748	2.604990454	197.5413624	131.7417105	158.3007608	68.05050352	158.3007608	197.5413624	79.7382874	103.1224395	95.56011979	83.70668034	82.85345466	2.241694968	80.33755532	2.328424841	5.74130227	0.958666998	1.469894721	3.384550107	1.054447448	0.353305942	1.393915564	1.137420077	1.508222073	1.045043463	1.631111087	0.40476712	0.60637991	0.60594588	2.516618592	0.943030238	2.286611393	0.21665327	2.063725216	1.592435761	0.443521132	0.831374502	0.80214679	1.376379287	0.915465878	16.92802867	5.949654753	0.271916318	19.97526755	0.481682297	29.4097825	0.116741883	102.3152546	19.97526755	1.135503944	5.949654753	16.92802867
PHAS21-15	17.17569071	56.31579246	74.4491331	31.33329669	71.68554624	96.02762628	11.54844536	17.96443125	4.72737326	28.15372984	48.03451798	8.338556776	16.12145338	23.58691091	7.421686032	19.34942485	30.09813096	17.13528997	23.56472023	14.48701033	7.192782762	14.8252608	52.48558281	52.69188146	12.08721229	58.52530163	18.10678091	27.89984361	37.46835515	27.10158738	100.8382699	77.90572657	78.47146057	25.1111897	78.47146057	100.8382699	34.55828635	39.98409522	27.97448444	33.52506478	36.06417259	30.2213692	123.8040765	24.14662798	67.8517541	43.89107372	38.56644737	49.87441766	120.3827504	123.2448894	124.8085282	17.35801944	13.825369	38.60689137	56.84766739	26.30986283	23.88769344	19.99621405	10.643665	13.16896097	12.96841183	18.72245344	6.240103668	15.59937072	2.21760566	22.50894932	62.48629858	27.25371457	24.2328699	26.93588457	69.43104927	57.16211564	44.48640619	72.57346602	60.2574627	59.61618849	88.62885079	44.48640619	61.50646362	69.43104927	26.93588457
PHAS21-16	1.109950839	3.387926384	5.05812464	3.200651316	3.374636281	3.608830668	2.835370992	3.301436441	2.889084473	5.875062338	2.731132763	1.022819001	5.499115223	2.610467605	3.680693315	3.836133618	5.184967219	5.172943068	2.545358343	5.589700212	2.148241847	1.812448782	2.129603102	1.0552728	3.467097594	2.55279292	3.341988135	1.094511019	3.572439469	1.976693646	236.1748734	145.6853015	223.6492427	206.3044259	223.6492427	236.1748734	236.1502408	230.2384015	259.2744309	282.3153539	206.0214117	2.099086051	207.3510951	1.754181504	1.845966839	1.764242116	0.561789714	0.537674881	3.121991465	0.270175132	0.978937425	1.909374645	1.764535502	5.075179125	3.07822926	2.919496982	2.20190893	1.908470572	4.153893107	4.177057031	2.298202622	3.08145072	5.139701807	6.394099714	3.57220604	4.992318876	1.832422363	3.820752883	1.981401287	38.58004877	9.785402749	0.913776857	47.14810941	1.936399946	95.93538655	0.492227474	339.7706502	47.14810941	0.291346407	9.785402749	38.58004877
PHAS21-17	133.1762771	86.70135675	70.44852061	74.32042056	85.89104107	120.7074242	89.37103823	144.7862929	144.0273274	96.379737	87.37559582	88.63002112	71.34050406	96.24523455	60.80764646	104.1226074	92.50565673	84.09433572	128.9900856	121.1886837	110.4944012	161.4021681	137.8225656	201.8780254	70.37973459	108.0670337	86.45268714	161.073158	80.76813095	60.5615326	1.208271184	1.081879325	3.861440776	0.233230864	3.861440776	1.208271184	0	0	0	0.914319948	0.751336929	96.52610719	20.35013701	100.2606461	103.5398884	145.2640194	178.3160625	213.0909164	271.6826425	338.8762973	217.0796198	0.378170358	0	0	0	0	0	0	0	0	0	1.134506569	0	0	0.295680755	0.477301667	53.14647719	58.63767838	48.27163779	0.086927338	0.118163749	0.553390669	0.180573277	0.984772695	0.249129322	0	0.211423785	0.180573277	0.747042068	0.118163749	0.086927338
PHAS21-18	89.37461314	68.62521367	64.59085327	93.59997602	46.52239828	115.496415	58.04393347	57.35903978	61.61541171	83.24613252	65.72779552	80.78303181	67.58126449	72.57576126	61.60388177	48.42060335	72.22593793	74.22937534	131.7520783	99.66294383	246.5859054	125.1665072	143.1231548	218.487248	104.18296	194.9527583	82.78913026	146.5071158	115.9042712	61.96001478	55.41652225	41.03044597	37.70021158	76.35671905	37.70021158	55.41652225	93.41496817	63.49314292	73.4707127	50.75540267	62.7291277	133.1125423	155.7211121	138.2625891	115.7314557	221.2165604	236.0227337	309.7671271	434.2545739	454.2337787	334.1206295	3.979792816	5.586007676	5.37450924	2.833385456	3.612064685	7.867772047	0.55545039	1.681137951	1.384125027	10.60688005	27.38944399	0.548213844	0.299987898	5.174413207	15.35474434	39.07851816	41.60673715	31.28234867	25.96211678	71.95590428	29.73094193	25.98900038	20.41441626	129.7858522	37.61853962	37.80578324	25.98900038	38.12733515	71.95590428	25.96211678
PHAS21-19	138.5740883	48.97503861	48.62397649	45.19443019	56.04880616	78.50129854	40.24406138	64.19690968	51.20367891	69.30237103	39.80579763	50.53876355	57.35640764	51.28599092	35.91613401	56.59891915	53.55695768	61.33690878	88.78038803	85.68212114	201.136528	120.9267456	209.6210888	200.4797679	57.90272836	129.0468567	50.40343812	148.1639681	55.26356603	58.29243708	203.8618315	174.5688065	151.119785	98.34010786	151.119785	203.8618315	133.9496724	97.67019301	89.19022383	80.34778592	92.77273465	151.034542	312.7330432	156.8779805	174.3417127	97.80286009	110.5285932	109.3530421	129.5051136	236.3754142	182.2574121	8.755544196	1.005481382	1.34362731	6.597541515	5.336822359	4.165179563	5.959189187	3.317108682	3.586142116	14.58648435	18.21303689	1.626935246	2.403258031	4.24705084	5.601813647	69.71942623	85.98990968	54.96364672	25.75343441	95.84169227	38.20977779	29.1707134	22.20879475	148.7394806	43.47888529	73.00125654	29.1707134	49.89164799	95.84169227	25.75343441
PHAS21-20	76.49563694	31.35846375	32.08834092	21.92371468	27.37327848	46.28983071	30.85984081	39.24780166	31.59374682	50.21822685	34.83582049	45.41768578	40.99038269	37.66317269	24.0210021	28.59123094	47.37576737	46.2847121	50.01088137	63.16105625	151.2473418	73.27172088	138.1538928	121.4956392	37.21464332	61.56337899	31.02514675	115.8387309	33.59561311	24.29308318	92.49858563	63.47547033	71.59305832	90.03722372	71.59305832	92.49858563	106.9459939	49.9229436	79.50172887	65.11452926	48.67810133	102.6987044	135.9895594	106.6720574	70.97151132	71.41877162	64.12309984	71.21689966	114.2676808	182.3971106	90.96719273	9.490275177	5.586007676	1.34362731	9.265936221	11.60107541	10.73998281	17.62364738	9.657707263	3.460312568	12.00778873	18.98128063	4.487181389	6.070967218	9.950794628	4.673414222	60.85883521	54.03889774	41.72425838	56.70563534	204.8101596	174.16939	68.31923598	92.77079545	134.9543814	129.8492644	146.6651239	68.31923598	150.1300421	204.8101596	56.70563534
