GeneID	SRR6451292	SRR6451294	SRR6451295	SRR6451288	SRR6451289	SRR6451296	SRR10063894	SRR10063893	SRR10063892	SRR6451293	SRR6451290	SRR6451291	SRR10063891	SRR10063890	SRR10063888	SRR10063887	SRR10063886	SRR10063885	SRR10063884	SRR10063883	SRR10063882	SRR10063881	SRR10063880	SRR10063879	SRR6451300	SRR6451301	SRR6451298	SRR6451297	SRR6451302	SRR6451303	SRR1019853	SRR1019854	SRR1019855	SRR1585195	SRR1687186	SRR1687187	SRR1747132	SRR1747133	SRR1747134	SRR1747135	SRR1747136	SRR1996221	SRR5192077	SRR5498790	SRR5498791	SRR7814089	SRR7814090	SRR7814091	SRR7814092	SRR7814093	SRR7814094	SRR8351347	SRR8351348	SRR8351349	SRR8351350	SRR8351351	SRR8351352	SRR8351353	SRR8351354	SRR8351355	SRR8351356	SRR8351357	SRR8351358	SRR8351359	SRR8351360	SRR8351361	SRR8361922	SRR8361923	SRR8361924	SRR8948279	SRR8948280	SRR8948281	SRR8948282	SRR8948283	SRR8948284	SRR9903553	SRR9903554	SRR9903555	SRR9903556	SRR9903557	SRR9903558
miRN193b-Novel-3p-mature	0	0	0	0	0	0	0	0	0.102992881	0	0	0	0	0	0	0	0	0	0	0	0.601001233	0	0	0	0.165995133	0.416451387	0	0.160528444	0	0	0.621658997	1.117030638	0.97818011	0.330410391	0.97818011	0.621658997	1.439928598	0.740446208	0.826250595	0.798215828	0.751336929	0	2.034650775	0	0.706789105	0	0	0	0	0	0	0.378170358	0	0.44787577	0	0	0	0	0	0.395464293	0	0	0	0	0	0.223303069	0.470093681	0.192946652	0.258601683	0.59315125	0.337693458	0.215543422	0.278002267	0.500571798	0.260893762	0.583709417	0.28189838	0.278002267	0	0.337693458	0.59315125
miRN193b-Novel-5p-star	0	0	0	0.153281517	0	0.29760628	0	0	0.159170817	0	0	0	0	0	0	0	0	0	0.188467504	0	0.148611214	0	0	0.28306141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144757763	0	0	0.324618111	0.17033396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334827781	0	0	0	0	0	0.131554535	0	0	0	0	0.22415993	0	0.166841152	0	0	0.22415993	0	0	0
miRN88c-Novel-5p-mature	0.427610557	0.473241953	0	0	0	1.636834539	0.745060991	0.248356192	0.525263696	0.280601959	0.687025287	0	0.171201275	0.548532812	0	0.327493792	0	0.201591647	1.036571271	0.642281246	0	0.271193795	0.363222026	0	0	0	0	0.192634133	0	0.208473749	0.352273432	0.730366187	0.442785671	5.154402097	0.442785671	0.352273432	0	0	0	0	0	1.394832425	0.159233539	1.448797679	1.696293852	0.714159844	0.562102067	0	2.636118621	2.755786348	3.279640158	0	0	0	0	0.375855183	0	0	0	0	0	0	0	0	0	0	0	0	0	0.556334965	1.169821111	0.258652107	0.246575923	1.156037512	0.183525267	0	0.676556113	0.246575923	3.406511831	1.169821111	0.556334965
miRN88c-Novel-3p-star	1.527180561	0	0	0.481741909	0	0.467667011	0	0.354794561	0	0	0	0.406098544	0.24457325	0	0.240963832	0	0	0	0	0	0.467063816	0	0	0	0	0	0	0	0	0	2.767862679	1.043380267	1.054251597	0	1.054251597	2.767862679	0	0	1.214082507	0.684184995	0	0.996308875	0.227476484	1.034855485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526157942	0	0	0	0	0	0	0.183814437	0.198691059	0.742743563	0	0	0.275247027	1.048715812	0.333548238	1.449763099	0	1.216611368	0.742743563	0.198691059
miR169v-Probable-5p-mature	9.061271329	6.103318844	7.34233655	38.92073176	51.1438983	33.05821185	8.914122567	15.93618902	11.90180834	54.78419191	50.48409029	81.03358036	8.855589752	9.392536044	5.57228862	6.705825255	6.891057888	7.799676806	10.09422976	12.55252038	17.69004202	14.78651883	9.275133888	12.08739616	18.72879615	11.04091952	21.87789242	11.93643646	2.749250378	0	1.090370146	0.417352107	0.368988059	0	0.368988059	1.090370146	1.151942878	0	0	0	0	0	0	0	0	6.503955719	9.401826237	17.27878376	17.22891813	33.79118974	16.10537578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433267078	0.161657567	0.821919745	1.284486124	0.61175089	0	0	0.821919745	3.599141965	0.433267078	0
miR169v-Probable-3p-star	0	0	0	0	0	0.818417269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miRN187b-Novel-5p-mature	0	0	0	0	0	0	0	0	0	0.467669931	0	0.473781635	0	0	0	0	0	0	0	0	0.544907785	0	0	0	0	0	0	0	0	0	0	0	0	0.233230864	0	0	2.750263622	1.184713932	3.966002857	1.842548203	1.63415782	0	8.472551216	0	0	0	0.312278926	0	0	0	0	0	1.340641842	0.89575154	0	0.526197257	0.955507738	0	2.128732999	0.711835728	1.280830798	1.350472051	0.943881227	0.779968536	0.739201887	1.071854729	0.216966315	0.144709989	0.257340211	0.241464829	0.731138194	0.080828783	0.328767898	0	0.367050534	0.389139612	1.127593521	0.328767898	0.283875986	0.731138194	0.241464829
miRN187b-Novel-3p-star	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.733902983	0	0.491984079	0	0.491984079	0.733902983	0	0.370223104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10831677	0	0.102739968	0	0	0	0	0.102739968	0	0.10831677	0
miR169w-Known-5p-mature	74.83184749	149.3341275	156.8344682	64.77421423	104.6903285	83.47856148	366.0112117	128.5243296	118.7679578	107.5640841	127.3859386	162.9808824	107.1434645	49.82506374	67.04818631	27.83697228	85.16916858	35.78251729	27.98742432	51.91773405	42.23035334	44.0689917	102.0048524	85.41378044	96.18034685	110.029927	87.67493914	111.2462118	26.51062864	17.72026867	22.01708949	49.78662839	10.33166565	0	10.33166565	22.01708949	0	0	2.124644388	0	2.254010787	0	0.796167695	0	16.96293852	15.62224658	23.57705892	56.86165492	28.11859863	20.66839761	17.08145916	0	0	0	2.412206537	0	0	0	0	0	0	0	0	0	0	0	1.952696831	2.170649833	5.790154755	4.867930947	3.249503086	3.879781605	9.246597129	5.780187559	6.882197517	12.84160718	10.14834169	9.246597129	15.61317923	3.249503086	4.867930947
miR169w-Known-3p-star	64.14158357	126.1978543	111.1068281	105.3810427	136.22356	112.1231659	11.17591486	11.17602866	20.13510833	145.9130184	152.8631264	146.3985252	21.40015935	12.79909894	9.27710754	5.731141352	15.07418913	21.1671229	14.51199779	16.05703115	168.3765056	5.423875902	156.1854713	91.4288354	29.6301313	51.32763349	29.73324023	146.4019411	51.84300712	8.338949964	0	0.730366187	0	7.92984938	0	0	0	0	4.249288775	0	0	10.46124319	3.980838473	10.86598259	0	18.74669589	25.29459301	41.92342354	15.81671173	27.55786348	9.565617127	0	2.513703454	0	0	0	4.777538689	0	0	3.559178641	0	0	0	0	0	0	0	1.447099889	7.076855812	10.4312806	13.64791296	6.466302674	22.80827292	7.706916746	9.176263356	10.50676951	11.83973198	22.80827292	19.87131902	13.64791296	10.4312806
